path,type,required,label,opendata,generated,description,thesaurus
"DESY","String","non","Date création avant 1995 ","","","Date création avant 1995 ",""
"DIFFU","String","non","","","","Champ déprécié",""
"DIMS","String","non","Mesures","true","","Mesures / Dimensions",""
"DMAJ","String","non","Date de mise à jour","true","true","Date de mise à jour (format AAAA-MM-JJ)",""
"DMIS","String","non","Date de création","true","true","Date de la création (format AAAA-MM-JJ)",""
"DOMN","Array","oui","Domaine","true","","Domaine","http://data.culture.fr/thesaurus/resource/ark:/67717/T51"
"DREP","String","non","Date sujet représenté","","","Date de la représentation",""
"ECOL","Array","non","Ecole-pays","true","","Ecole ","http://data.culture.fr/thesaurus/resource/ark:/67717/T517"
"EPOQ","Array","non","Epoque","true","","Epoque /style / mouvement ","http://data.culture.fr/thesaurus/resource/ark:/67717/T93"
"ETAT","Array","non","Etat du bien","","","Etat du bien",""
"EXPO","String","non","Exposition","","","Exposition ",""
"GENE","Array","non","Genèse","","","Genèse ","http://data.culture.fr/thesaurus/resource/ark:/67717/T506"
"GEOHI","Array","non","Lieu historique","true","","Géographie historique",""
"HIST","String","non","Historique","","","Historique",""
"IMAGE","String","non","","","","Champ déprécié  ",""
"IMG","Array","non","Adresse image","","","IMAGE",""
"INSC","Array","non","Inscriptions","","","Inscriptions ",""
"INV","String","oui","N°Inventaire","true","","N°Inventaire, autres numéros",""
"LABEL","String","non","Appellation musée de France","true","true","Appellation musée de France",""
"LABO","String","non","","","","Champ déprécié",""
"LARC","String","non","Lien base Arcade","","","Lien base Arcade",""
"LIEUX","String","non","Lieu de création/utilisation","true","","Lieu de création / d’exécution / d’utilisation","http://data.culture.fr/thesaurus/resource/ark:/67717/T84"
"REGION","String","non","Région","","true","Région syncronisée sur la valeur de REGION de la fiche MUSEO",""
"DPT","String","non","Département","","true","Département syncronisée sur la valeur de DPT de la fiche MUSEO",""
"VILLE_M","String","non","Ville","","true","VILLE syncronisée sur la valeur de VILLE_M de la fiche MUSEO",""
"NOMOFF","String","non","Nom du musée","","true","NOMOFF syncronisée sur la valeur de NOMOFF de la fiche MUSEO",""
"LOCA","String","non","Localisation","true","","Localisation","http://data.culture.fr/thesaurus/resource/ark:/67717/T515"
"LOCA2","String","non","Pays-region-ville","","","Pays-region-ville",""
"LOCA3","String","non","","","","Champ déprécié",""
"MILL","Array","non","Millésime de création","true","","Millésime de création / exécution ",""
"MILU","String","non","Millésime d’utilisation","true","","Millésime d’utilisation / destination",""
"MOSA","String","non","","","","Champ déprécié",""
"MSGCOM","String","non","Lien commande photo","","","Lien commande de reproduction et/ou de conditions d’utilisation ",""
"MUSEO","String","oui","Lien MUSEOFILE","true","","Lien MUSEOFILE",""
"NSDA","String","non","Numéro de site","","","Numéro de site",""
"ONOM","Array","non","Onomastique","true","","Onomastique",""
"PAUT","String","non","Précision auteur","true","","Précision auteur",""
"PDAT","String","non","Précision datation","","","[Peut être déprécié : Pas affiché en production ni en diffusion]",""
"PDEC","String","non","Précisions découverte","","","Précisions sur la découverte / collecte",""
"PEOC","Array","non","Période de l’original copié","true","","Période de l’original copié","http://data.culture.fr/thesaurus/resource/ark:/67717/T521"
"PERI","Array","non","Période de création","true","","Période de création / exécution ","http://data.culture.fr/thesaurus/resource/ark:/67717/T521"
"PERU","Array","non","Période d’utilisation","true","","Période d’utilisation / destination","http://data.culture.fr/thesaurus/resource/ark:/67717/T521"
"PHOT","String","non","Crédits photos","","","Crédits photographiques",""
"PINS","String","non","Précisions inscriptions","","","Précisions sur les inscriptions",""
"PLIEUX","String","non","Précisions lieu création","","","Précisions sur le lieu de création/ d’exécution / d’utilisation",""
"PREP","Array","non","Précisions sujet représenté","","","Précisions sur le sujet représenté ",""
"PUTI","String","non","Précisions utilisation","","","Précisions sur l’utilisation ",""
"RANG","String","non","","","","Champ déprécié ",""
"REDA","Array","non","Rédacteur","","","Rédacteur ",""
"REFIM","String","non","Référence image","","","Référence image",""
"REPR","String","non","Sujet représenté","true","","Sujet représenté ",""
"RETIF","String","non","Lien INHA","","","Lien INHA",""
"SREP","Array","non","Source représentation","true","","Source de la représentation",""
"STAT","Array","oui","Statut juridique","true","","Statut juridique","http://data.culture.fr/thesaurus/resource/ark:/67717/T515"
"TECH","Array","non","Matériaux - techniques","true","","Matériaux et techniques","http://data.culture.fr/thesaurus/resource/ark:/67717/T516"
"TICO","String","non","","","","Champ déprécié ",""
"TITR","String","non","Titre","true","","Titre",""
"TOUT","String","non","Recherche sur tout","","","[Peut être déprécié : A vérifier. Non présent en production] ",""
"UTIL","Array","non","Utilisation / Destination","true","","Utilisation / Destination",""
"VIDEO","Array","non","Affichage image","","","Affichage image",""
"WWW","String","non","Lien site associé","","","Lien site associé. Doit être une URL valide.",""
"LVID","String","non","Lien Vidéo","","","Lien vidéo. Doit être une URL valide.",""
"_id","ObjectID","non","","","","",""
"__v","Number","non","","","","",""
