path,type,required,label,opendata,generated,description,thesaurus
"REFE","Array","non","Référence des l'ensemble","","","Références de l'ensemble. Doit être une référence valide vers une notice Mérimée.",""
"REFM","String","non","","","","[PAS AFFICHE]",""
"REFP","Array","non","Références des parties constituantes étudiées","","","Références des parties constituantes étudiées. Doit être une référence valide vers une notice Mérimée.",""
"REFJOC","Array","non","Référence aux objets Joconde","","true","REFJOC contient une ou plusieurs références de notice Joconde.",""
"REFMUS","Array","non","Référence aux objets Muséo","","true","REFMUS contient une ou plusieurs références de notice Muséo.",""
"REG","String","non","Région","","","Région. Doit être une des valeurs suivantes : Auvergne-Rhône-Alpes, Bourgogne-Franche-Comté, Bretagne, Centre-Val de Loire, Corse, Grand Est, Guadeloupe, Guyane, Hauts-de-France, Île-de-France, La Réunion, Martinique, Mayotte, Normandie, Nouvelle-Aquitaine, Occitanie, Pays de la Loire, Provence-Alpes-Côte d'Azur, Rhône-Alpes, Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Centre, Champagne-Ardenne, Franche-Comté, Haute-Normandie, Languedoc-Roussillon, Limousin, Lorraine, Midi-Pyrénées, Nord-Pas-de-Calais, Picardie, Poitou-Charente",""
"RENP","Array","non","Renvoi vers dossier 'peinture'","","","",""
"RENV","Array","non","Numéro de renvoi vers un autre domaine","","","Numéro de renvoi vers un autre domaine. Doit être une référence valide vers une notice Mérimée.",""
"REPR","Array","non","Indexation iconographique normalisée","","","",""
"SCLD","Array","non","","","","[PAS AFFICHE]",""
"SCLE","Array","non","Siècle de création","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T17"
"SCLX","Array","non","","","","",""
"SOUR","String","non","Sources d'archives et bases de données de référence","","","",""
"STAD","Array","non","Etape de création","","","",""
"STAT","Array","non","Statut juridique du propriétaire","","","",""
"STRU","Array","non","Structure et typologie","","","",""
"THEM","String","non","Thème de l'étude","","","",""
"TICO","String","non","Titre courant","","","Titre courant. Affiche un avertissement si vide.",""
"TITR","String","non","Titre iconographique","","","",""
"TOUT","String","non","","","","[PAS AFFICHE]",""
"VIDEO","Array","non","Url de liaison avec Mémoire","","","",""
"VOLS","String","non","Informations relatives aux vols","","","",""
"WADRS","String","non","Adresse pour l'affichage","","","",""
"WCOM","String","non","Commune pour l'affichage","","","",""
"WEB","String","non","Accès Mémoire","","","",""
"WRENV","String","non","","","","[PAS AFFICHE]",""
"ZONE","String","non","Typologie de la coordonnée géographique de l'édifice","","","",""
"_id","ObjectID","non","","","","",""
"__v","Number","non","","","","",""
